Player,Tm,Pos,Status,Injury Comment,Practice Status
Nathan Landman,ATL,LB,Out,Knee,Did Not Participate In Practice
Kaleb McGary,ATL,T,Out,Knee,Did Not Participate In Practice
David Onyemata,ATL,DL,Out,Ankle,Did Not Participate In Practice
Mack Hollins,ATL,WR,Questionable,Ankle,Full Participation In Practice
AJ Terrell,ATL,CB,Questionable,Concussion,Full Participation In Practice
Mike Hughes,ATL,CB,Questionable,Hand,Full Participation In Practice
LaCale London,ATL,DL,Out,Knee,Full Participation In Practice
Drew Dalman,ATL,OL,Questionable,Ankle,Limited Participation In Practice
Jeff Okudah,ATL,CB,Questionable,Ankle,Limited Participation In Practice
Leonard Floyd,BUF,DE,,Wrist,Full Participation In Practice
Von Miller,BUF,LB,,Rest,Full Participation In Practice
Kaiir Elam,BUF,CB,Questionable,Ankle,Full Participation In Practice
Dane Jackson,BUF,CB,,Concussion,Full Participation In Practice
Dawson Knox,BUF,TE,Questionable,Wrist,Full Participation In Practice
Dalton Kincaid,BUF,TE,,Thumb,Full Participation In Practice
Josh Allen,BUF,QB,,Right Shoulder,Full Participation In Practice
Taylor Rapp,BUF,S,,Neck,Full Participation In Practice
DeShawn Williams,CAR,DT,Out,Knee,Did Not Participate In Practice
Adam Thielen,CAR,WR,,NIR - Rest,Did Not Participate In Practice
Vonn Bell,CAR,S,,Shoulder,Full Participation In Practice
Amare Barno,CAR,OLB,,Ankle,Full Participation In Practice
Marquis Haynes,CAR,OLB,Questionable,Back,Full Participation In Practice
Tommy Tremble,CAR,TE,Questionable,Hip,Full Participation In Practice
Taylor Moton,CAR,T,,Knee,Full Participation In Practice
Stephen Sullivan,CAR,TE,Questionable,Shoulder,Full Participation In Practice
Troy Hill,CAR,CB,,Ankle,Limited Participation In Practice
Jeremy Chinn,CAR,S,,Quadriceps,Limited Participation In Practice
Jaycee Horn,CAR,CB,,Hamstring,Limited Participation In Practice
Bradley Bozeman,CAR,OL,Questionable,Ankle,Limited Participation In Practice
Hayden Hurst,CAR,TE,Out,Concussion,Limited Participation In Practice
Yetur Gross-Matos,CAR,OLB,Questionable,Hamstring,Limited Participation In Practice
