Player,Tm,Pos,Status,Injury Comment,Practice Status
Trent Sherfield,BUF,WR,0,Ankle,Limited Participation In Practice
Jordan Phillips,BUF,DT,0,Knee,Limited Participation In Practice
Micah Hyde,BUF,S,0,Neck,Limited Participation In Practice
Christian Benford,BUF,CB,0,Hamstring,Limited Participation In Practice
Dorian Williams,BUF,LB,0,Knee,Limited Participation In Practice
Cameron Lewis,BUF,CB,0,Shoulder,Limited Participation In Practice
Hayden Hurst,CAR,TE,0,Concussion,Did Not Participate In Practice
C.J. Henderson,CAR,CB,1,Concussion,Did Not Participate In Practice
DeShawn Williams,CAR,DT,0,Not Injury Related,Did Not Participate In Practice
DJ Chark,CAR,WR,1,Elbow,Full Participation In Practice
Stephen Sullivan,CAR,TE,1,Shoulder,Full Participation In Practice
Ian Thomas,CAR,TE,0,Calf,Full Participation In Practice
Xavier Woods,CAR,S,0,Thigh,Full Participation In Practice
Austin Corbett,CAR,G,0,Calf,Full Participation In Practice
Laviska Shenault Jr.,CAR,WR,0,Ankle,Full Participation In Practice
Taylor Moton,CAR,T,1,Rest,Full Participation In Practice
Bryce Young,CAR,QB,1,Thigh,Full Participation In Practice
Brian Burns,CAR,OLB,1,Concussion,Limited Participation In Practice
Marquis Haynes,CAR,OLB,0,Back,Limited Participation In Practice
Jaycee Horn,CAR,CB,1,Hamstring,Limited Participation In Practice
Marcedes Lewis,CHI,TE,1,Rest,Did Not Participate In Practice
Tremaine Edmunds,CHI,LB,0,Knee,Did Not Participate In Practice
Jack Sanborn,CHI,LB,0,Ankle,Full Participation In Practice
Khalil Herbert,CHI,RB,0,Ankle,Full Participation In Practice
Nate Davis,CHI,OL,0,Ankle,Full Participation In Practice
Terell Smith,CHI,DB,0,Illness,Full Participation In Practice
Khari Blasingame,CHI,FB,0,Concussion,Full Participation In Practice
Justin Fields,CHI,QB,1,Thumb,Full Participation In Practice
Noah Sewell,CHI,LB,1,Knee,Limited Participation In Practice
D'Onta Foreman,CHI,RB,1,Ankle,Limited Participation In Practice
Tee Higgins,CIN,WR,0,Hamstring,Did Not Participate In Practice
Andrei Iosivas,CIN,WR,0,Knee,Did Not Participate In Practice
Sam Hubbard,CIN,DE,0,Ankle,Did Not Participate In Practice
Charlie Jones,CIN,WR,0,Thumb,Full Participation In Practice
Akeem Davis-Gaither,CIN,LB,0,Knee,Full Participation In Practice
Trey Hendrickson,CIN,DE,0,Knee,Full Participation In Practice
D.J. Reader,CIN,DT,0,NIR - Rest,Full Participation In Practice
Josh Tupou,CIN,DT,0,Shoulder,Full Participation In Practice
Chidobe Awuzie,CIN,CB,1,Knee,Full Participation In Practice
Cam Taylor-Britt,CIN,CB,1,Finger,Full Participation In Practice
Matthew Adams,CLE,LB,1,NIR - Personal,Did Not Participate In Practice
Juan Thornhill,CLE,S,1,Calf,Did Not Participate In Practice
Marquise Goodwin,CLE,WR,1,Concussion,Did Not Participate In Practice
Rodney McLeod,CLE,S,1,Rest,Did Not Participate In Practice
Joel Bitonio,CLE,G,1,Rest,Did Not Participate In Practice
Za'Darius Smith,CLE,DE,1,Rest,Did Not Participate In Practice
Amari Cooper,CLE,WR,1,Rest,Did Not Participate In Practice
Anthony Walker,CLE,LB,1,Rest,Did Not Participate In Practice
Denzel Ward,CLE,CB,1,Neck,Full Participation In Practice
Greg Newsome II,CLE,CB,1,Groin,Full Participation In Practice
Alex Wright,CLE,DE,1,Knee,Full Participation In Practice
